Eksp;Dato;???;Tid (min);molfrak. Pp;biprod;HCl (eq.) EtOH
HS2-6C;Date: 22.06;H;0;1;0;0
;;;1;1;0;
;;;2;1;0;
;;;3;0,93;0;
;;;4;0,77;0;
;;;6;0,31;0;
HS2-4A;Date: 20.06;H;0;1;0;0,1
;;;1;0,49;0;
;;;2;0,39;0;
;;;3;0,11;0;
;;;4;0,07;0;
;;;6;0;0;
HS2-4B;Date: 20.06;H;0;1;0;0,5
;;;1;0,26;0,04;
;;;2;0,1;;
;;;3;0,06;0,08;
;;;4;0,03;0,09;
;;;6;0;0,1;
HS2-4C;Date: 20.06;H;0;1;0;1
;;;1;0,19;0,11;
;;;2;0,09;0,12;
;;;3;0,03;0,14;
;;;4;0,01;0,13;
;;;6;0;0,14;
HS2-6A;Date: 22.06;H;0;1;0;3
;;;1;0,18;0,19;
;;;2;0;0,23;
;;;3;0;0,17;
;;;4;0;0,15;
;;;6;0;0,15;
HS2-6B;Date: 22.06;H;0;1;0;5
;;;1;0,14;0,29;
;;;2;0,03;0,3;
;;;3;0;0,26;
;;;4;0;0,27;
;;;6;0;0,17;
